t,mean_latency,var_latency,queue_size
0,0.200159,0.00248267,1000
1,0.199618,0.00250917,1000
2,0.200868,0.00240446,1000
3,0.200482,0.00243439,1000
4,0.200787,0.00250504,1000
5,0.200596,0.00248075,1000
6,0.19855,0.00240563,1000
7,0.201029,0.00255987,1000
8,0.200643,0.00260151,1000
9,0.200396,0.00252424,1000
10,0.19924,0.0025709,1000
11,0.199903,0.00254506,1000
12,0.198279,0.00240744,1000
13,0.199528,0.00254985,1000
14,0.201093,0.00242568,1000
15,0.199912,0.00260599,1000
16,0.202208,0.0026568,1000
17,0.200414,0.00249676,1000
18,0.201593,0.00260242,1000
19,0.199806,0.00233144,1000
20,0.200124,0.00254235,1000
21,0.200267,0.00256618,1000
22,0.20106,0.00253469,1000
23,0.199773,0.00236185,1000
24,0.201071,0.0023935,1000
25,0.201396,0.00247433,1000
26,0.20229,0.0023916,1000
27,0.200923,0.00233865,1000
28,0.201916,0.00252585,1000
29,0.199013,0.00245968,1000
30,0.199772,0.0024829,1000
31,0.199407,0.00245307,1000
32,0.200271,0.00241176,1000
33,0.198643,0.00244769,1000
34,0.200399,0.00260153,1000
35,0.200485,0.00262478,1000
36,0.199612,0.00239216,1000
37,0.200262,0.00242494,1000
38,0.200805,0.00250379,1000
39,0.198337,0.00258496,1000
40,0.199471,0.00240047,1000
41,0.200102,0.00243827,1000
42,0.199683,0.00244976,1000
43,0.198994,0.00235937,1000
44,0.199336,0.00257706,1000
45,0.199736,0.00259408,1000
46,0.199702,0.00255128,1000
47,0.200407,0.00246881,1000
48,0.200361,0.0024882,1000
49,0.200328,0.00259137,1000
50,0.198113,0.00255906,1000
51,0.199817,0.00250162,1000
52,0.198992,0.002421,1000
53,0.200419,0.0026162,1000
54,0.198902,0.00242921,1000
55,0.200605,0.00244115,1000
56,0.199418,0.00244494,1000
57,0.200408,0.00247924,1000
58,0.198829,0.00238818,1000
59,0.200431,0.00240263,1000
60,0.200568,0.00248557,1000
61,0.199081,0.0024688,1000
62,0.199846,0.00236745,1000
63,0.200021,0.002513,1000
64,0.1992,0.00260741,1000
65,0.200963,0.00245001,1000
66,0.201809,0.00263247,1000
67,0.201072,0.00253842,1000
68,0.200926,0.00254299,1000
69,0.200914,0.00248569,1000
70,0.19845,0.00256834,1000
71,0.199867,0.00248452,1000
72,0.199073,0.0025274,1000
73,0.199097,0.00250283,1000
74,0.199899,0.00253197,1000
75,0.200777,0.0026568,1000
76,0.200201,0.00247525,1000
77,0.1992,0.00258356,1000
78,0.199927,0.00260738,1000
79,0.20008,0.00248012,1000
80,0.20122,0.00248913,1000
81,0.200434,0.00247966,1000
82,0.199081,0.00255653,1000
