t,avg,var
0,50.6851,697.235
0,50.6403,603.61
0,50.5673,522.053
0,50.6042,451.154
0,50.5814,388.983
0,50.5901,334.805
0,50.5812,284.554
0,50.5825,241.851
0,50.5748,206.044
0,50.6239,174.77
1,50.6256,149.638
1,50.6094,125.805
1,50.6109,106.951
1,50.5883,90.2254
1,50.6157,75.956
1,50.594,63.4927
1,50.5825,53.9701
1,50.5938,45.382
1,50.5878,38.2162
2,50.5956,32.4834
2,50.6026,27.2612
2,50.6072,23.0353
2,50.6023,19.319
2,50.607,16.3673
2,50.6045,13.7368
2,50.6026,11.5953
2,50.6052,9.78499
2,50.6041,8.27924
2,50.6012,6.99456
3,50.6016,5.86697
3,50.6005,4.95328
3,50.6013,4.16911
3,50.6001,3.49018
3,50.605,2.93664
3,50.6024,2.47588
3,50.6065,2.09593
3,50.602,1.75725
3,50.6034,1.48754
3,50.6015,1.24683
4,50.6045,1.05201
4,50.6012,0.88097
4,50.6079,0.742296
4,50.6059,0.624567
4,50.6063,0.528134
4,50.6053,0.442804
4,50.6055,0.375525
4,50.6035,0.311713
4,50.6058,0.26262
4,50.6062,0.224081
4,50.6067,0.187668
5,50.6056,0.157348
5,50.6056,0.132437
5,50.6055,0.111193
5,50.6057,0.0930563
5,50.6054,0.0783146
5,50.6057,0.0659744
5,50.6052,0.0558881
5,50.6056,0.0471339
5,50.6055,0.039615
5,50.6053,0.0332639
6,50.6049,0.0281742
6,50.6053,0.0234838
6,50.6055,0.0197756
6,50.6055,0.0167112
6,50.6057,0.0140641
6,50.6057,0.0118457
6,50.6056,0.00997325
6,50.6054,0.0083929
6,50.6055,0.00708982
6,50.6055,0.00599056
7,50.6056,0.0050701
7,50.6056,0.00428434
7,50.6054,0.00359614
7,50.6052,0.00300243
7,50.6054,0.00253237
7,50.6054,0.00212472
7,50.6053,0.00179362
7,50.6054,0.00149391
7,50.6055,0.00126758
7,50.6054,0.00106657
8,50.6055,0.000892935
8,50.6055,0.000751014
8,50.6055,0.000634054
8,50.6055,0.000533166
8,50.6055,0.000447376
8,50.6055,0.000376959
8,50.6055,0.000319913
8,50.6055,0.000270482
8,50.6055,0.000225421
8,50.6055,0.000190571
9,50.6054,0.000160416
9,50.6054,0.000135606
9,50.6055,0.000113677
9,50.6055,9.52923e-05
9,50.6055,7.98573e-05
9,50.6055,6.73981e-05
9,50.6055,5.68737e-05
9,50.6055,4.79259e-05
9,50.6055,4.04261e-05
